player_id,name,team,season,season_end,salary,career_PTS,career_AST,career_TRB,career_WS,career_PER,log_salary,log_pred_salary,pred_salary,ValueScore
morrima03,Marcus Morris,Houston Rockets,2011-12,2012,1823280,11.5,1.5,4.6,26.8,13.2,14.416147634845213,14.527646565474464,2038340.5226275085,215060.5226275085
mccontj01,T.J. McConnell,Philadelphia 76ers,2017-18,2018,1471382,6.4,4.7,2.9,12.4,13.5,14.201712653158227,14.337661045296695,1685648.720990818,214266.720990818
nealga01,Gary Neal,Atlanta Hawks,2016-17,2017,72193,9.9,1.6,2.2,10.7,12.6,11.187098367272093,12.565119685320635,286392.83185628016,214199.83185628016
collini01,Nick Collison,Oklahoma City Thunder,2012-13,2013,2929332,5.9,1.0,5.2,44.5,13.2,14.890284968652288,14.960660370648249,3142912.169679055,213580.169679055
mccalra01,Ray McCallum,Memphis Grizzlies,2015-16,2016,111444,6.0,2.4,2.0,2.1,11.0,11.621277501564009,12.690951204225003,324795.5557775008,213351.5557775008
belinma01,Marco Belinelli,Chicago Bulls,2012-13,2013,1957000,10.0,1.7,2.1,29.6,12.3,14.486923246378213,14.59036062890366,2170266.7167396885,213266.71673968853
georgpa01,Paul George,Indiana Pacers,2012-13,2013,2574120,19.8,3.3,6.4,65.2,19.2,14.761018286098148,14.840459953472372,2786954.424584744,212834.42458474403
drumman01,Andre Drummond,Detroit Pistons,2014-15,2015,2568360,14.1,1.2,13.7,56.4,22.1,14.75877812088261,14.83825270274327,2780809.701366243,212449.70136624295
afflaar01,Arron Afflalo,Detroit Pistons,2008-09,2009,1015440,10.8,1.8,2.9,33.5,11.9,13.83083257406206,14.020557766222865,1227583.015651736,212143.01565173594
nancela02,Larry Nance Jr.,Los Angeles Lakers,2016-17,2017,1207680,7.7,1.7,6.5,16.4,17.1,14.004211721722267,14.165947761541382,1419688.105646657,212008.10564665706
